target_model,draft_model,spec_len,mean_acceptance_rate,std_acceptance_rate,min_acceptance_rate,max_acceptance_rate
Qwen/Qwen3-32B,Qwen/Qwen3-0.6B,2,0.5626628714250547,0.10388863564600581,0.3333333333333333,0.7948717948717948
Qwen/Qwen3-32B,Qwen/Qwen3-0.6B,3,0.49464652176878704,0.10938543992112286,0.3141025641025641,0.7888888888888889
Qwen/Qwen3-32B,Qwen/Qwen3-0.6B,4,0.43993621133021565,0.11835687429520622,0.25,0.7129629629629629
Qwen/Qwen3-32B,Qwen/Qwen3-0.6B,5,0.3784768753579666,0.10765252706309134,0.225,0.632
Qwen/Qwen3-32B,Qwen/Qwen3-0.6B,6,0.3438452168193885,0.09470525703556604,0.13690476190476192,0.5
Qwen/Qwen3-32B,Qwen/Qwen3-0.6B,7,0.3454752016391842,0.13268829081420896,0.1746031746031746,0.6466165413533834
Qwen/Qwen3-32B,Qwen/Qwen3-0.6B,8,0.27324747152331147,0.08381531000466932,0.12009803921568628,0.4602272727272727
Qwen/Qwen3-32B,Qwen/Qwen3-0.6B,9,0.2578453835149284,0.08099235968474579,0.12037037037037036,0.45555555555555555
Qwen/Qwen3-32B,Qwen/Qwen3-0.6B,10,0.2732360718784757,0.13728690751768732,0.09433962264150944,0.7833333333333333
Qwen/Qwen3-32B,Qwen/Qwen3-1.7B,2,0.6462416324308767,0.09439682923780968,0.47115384615384615,0.8289473684210527
Qwen/Qwen3-32B,Qwen/Qwen3-1.7B,3,0.5754901836092038,0.09245557972351434,0.3829787234042553,0.7634408602150538
Qwen/Qwen3-32B,Qwen/Qwen3-1.7B,4,0.4902978563609924,0.1332269214705152,0.2708333333333333,0.75
Qwen/Qwen3-32B,Qwen/Qwen3-1.7B,5,0.46557097812697956,0.12782757043392504,0.2545454545454545,0.780952380952381
Qwen/Qwen3-32B,Qwen/Qwen3-1.7B,6,0.3602567056847902,0.10464414176423992,0.1956521739130435,0.5909090909090909
Qwen/Qwen3-32B,Qwen/Qwen3-1.7B,7,0.3628121115962887,0.10236654349702301,0.1400560224089636,0.631578947368421
Qwen/Qwen3-32B,Qwen/Qwen3-1.7B,8,0.3175537604394944,0.10234345475875449,0.17857142857142858,0.5972222222222222
Qwen/Qwen3-32B,Qwen/Qwen3-1.7B,9,0.3134852605792542,0.12213171038163854,0.1524547803617571,0.5751633986928104
Qwen/Qwen3-32B,Qwen/Qwen3-1.7B,10,0.26924437404377405,0.13271179227004737,0.13488372093023257,0.6571428571428571
Qwen/Qwen3-32B,Qwen/Qwen3-4B,2,0.6741217945184326,0.1052671474666632,0.5,0.9027777777777778
Qwen/Qwen3-32B,Qwen/Qwen3-4B,3,0.6086618494459474,0.09394148889394088,0.4418604651162791,0.8571428571428571
Qwen/Qwen3-32B,Qwen/Qwen3-4B,4,0.5562398907406838,0.12466815003879526,0.3546511627906977,0.8333333333333334
Qwen/Qwen3-32B,Qwen/Qwen3-4B,5,0.48712360409383554,0.12699217967818902,0.26222222222222225,0.7714285714285715
Qwen/Qwen3-32B,Qwen/Qwen3-4B,6,0.46390842653175807,0.14791456632627506,0.23809523809523808,0.7592592592592593
Qwen/Qwen3-32B,Qwen/Qwen3-4B,7,0.44828101720541264,0.12921880401637592,0.25096525096525096,0.7226890756302521
Qwen/Qwen3-32B,Qwen/Qwen3-4B,8,0.39199309367188767,0.12533145232826434,0.20723684210526316,0.7083333333333334
Qwen/Qwen3-32B,Qwen/Qwen3-4B,9,0.35456523462003986,0.11971318797738141,0.1414141414141414,0.625
Qwen/Qwen3-32B,Qwen/Qwen3-4B,10,0.32179838440464725,0.11598957948465677,0.10816326530612246,0.58
Qwen/Qwen3-32B,Qwen/Qwen3-8B,2,0.7081003907447398,0.08751387021862746,0.5408163265306123,0.8648648648648649
Qwen/Qwen3-32B,Qwen/Qwen3-8B,3,0.6628731227902612,0.10055707772677383,0.4796747967479675,0.8505747126436781
Qwen/Qwen3-32B,Qwen/Qwen3-8B,4,0.5704994829151366,0.13028984213622366,0.38414634146341464,0.8804347826086957
Qwen/Qwen3-32B,Qwen/Qwen3-8B,5,0.5220038146843016,0.12206679630706681,0.35555555555555557,0.82
Qwen/Qwen3-32B,Qwen/Qwen3-8B,6,0.5025451067003381,0.1387802743626341,0.25416666666666665,0.7592592592592593
Qwen/Qwen3-32B,Qwen/Qwen3-8B,7,0.4813988583539981,0.14109554614111483,0.21428571428571427,0.7478991596638656
Qwen/Qwen3-32B,Qwen/Qwen3-8B,8,0.4115856623017017,0.15336743240473924,0.1875,0.8214285714285714
Qwen/Qwen3-32B,Qwen/Qwen3-8B,9,0.40197785033943595,0.10837203315854416,0.19166666666666668,0.6296296296296297
Qwen/Qwen3-32B,Qwen/Qwen3-8B,10,0.38013339282885333,0.12338657256278872,0.1325581395348837,0.6785714285714286
