target_model,draft_model,spec_len,mean_acceptance_rate,std_acceptance_rate,min_acceptance_rate,max_acceptance_rate
meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama/Llama-3.2-3B-Instruct,8,0.4667788183425363,0.11705812981555716,0.2537878787878788,0.7678571428571429
meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama/Llama-3.2-3B-Instruct,9,0.4345892111313333,0.11458819671138452,0.25925925925925924,0.7142857142857143
meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama/Llama-3.2-3B-Instruct,10,0.38083207086371507,0.09700619831304837,0.22258064516129034,0.62
meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,2,0.7610063862682086,0.09169294231486806,0.5306122448979592,0.9027777777777778
meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,3,0.7438713170074412,0.08219244055173183,0.5614035087719298,0.8571428571428571
meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,4,0.6826915173394249,0.08620838621334624,0.5073529411764706,0.8478260869565217
meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,5,0.6217729465526584,0.08804858136855277,0.45,0.82
meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,6,0.6278190006657358,0.13122353919466798,0.3686868686868687,0.8529411764705882
meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,7,0.5594416063954275,0.13409768735214928,0.3169642857142857,0.7857142857142857
meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,8,0.5300355696482028,0.14603727497041333,0.25357142857142856,0.8392857142857143
meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,9,0.4865663737541732,0.10329768076147573,0.2720306513409962,0.6962962962962963
meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,10,0.4452840103222306,0.12512578336001412,0.23225806451612904,0.676923076923077
