target_model,draft_model,spec_len,mean_acceptance_rate,std_acceptance_rate,min_acceptance_rate,max_acceptance_rate
meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama/Llama-3.2-1B,2,0.6477594812910946,0.091429132736576,0.46226415094339623,0.8289473684210527
meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama/Llama-3.2-1B,3,0.5385471302611229,0.09526594253621541,0.3333333333333333,0.7395833333333334
meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama/Llama-3.2-1B,4,0.4988321745181736,0.10892276136573084,0.3313953488372093,0.8229166666666666
meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama/Llama-3.2-1B,5,0.4619757981212283,0.12669204053721403,0.24888888888888888,0.9222222222222223
meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama/Llama-3.2-1B,6,0.4250851118029853,0.09917329569953984,0.2196969696969697,0.6666666666666666
meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama/Llama-3.2-1B,7,0.3688285685119615,0.10201957344750695,0.1893687707641196,0.5857142857142857
meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama/Llama-3.2-1B,8,0.31700258025848704,0.09020923539579746,0.17329545454545456,0.5902777777777778
meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama/Llama-3.2-1B,9,0.29531803594489925,0.09321737440014158,0.18421052631578946,0.5902777777777778
meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama/Llama-3.2-1B,10,0.2793590282589132,0.06564736190764678,0.1564102564102564,0.415
meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama/Llama-3.2-1B-Instruct,2,0.7004923005339057,0.08102354199246925,0.5408163265306123,0.8421052631578947
meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama/Llama-3.2-1B-Instruct,3,0.6595799687178034,0.09434950750891413,0.4796747967479675,0.8928571428571429
meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama/Llama-3.2-1B-Instruct,4,0.6061289495327039,0.10947030188390126,0.38125,0.8369565217391305
meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama/Llama-3.2-1B-Instruct,5,0.5457533699687223,0.13102381413638842,0.3128205128205128,0.9222222222222223
meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama/Llama-3.2-1B-Instruct,6,0.5196414583894876,0.13268903771572493,0.3148148148148148,0.8854166666666666
meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama/Llama-3.2-1B-Instruct,7,0.44309103984887543,0.11063816149502863,0.23308270676691728,0.6666666666666666
meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama/Llama-3.2-1B-Instruct,8,0.43540684461301804,0.12000697883327861,0.2571428571428571,0.7857142857142857
meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama/Llama-3.2-1B-Instruct,9,0.3925082267409782,0.10145762585251822,0.24731182795698925,0.7521367521367521
meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama/Llama-3.2-1B-Instruct,10,0.3443251755971088,0.10408840164792091,0.17435897435897435,0.6785714285714286
meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama/Llama-3.2-3B-Instruct,2,0.7536301941736008,0.074549086141001,0.6222222222222222,0.8513513513513513
meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama/Llama-3.2-3B-Instruct,3,0.6715590490911639,0.08262105934591615,0.543859649122807,0.8809523809523809
meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama/Llama-3.2-3B-Instruct,4,0.6287709671843298,0.07691805877789012,0.40789473684210525,0.76
meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama/Llama-3.2-3B-Instruct,5,0.5725179220623642,0.10388395736580536,0.37714285714285717,0.7523809523809524
meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama/Llama-3.2-3B-Instruct,6,0.5270613053913883,0.10695771348207424,0.35858585858585856,0.7456140350877193
meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama/Llama-3.2-3B-Instruct,7,0.5040017223287587,0.1129780780825642,0.2693877551020408,0.7589285714285714
