target,draft_model,device,draft_tps,T_verify_s,R,optimal_K,goodput_at_optimal_K
Llama-3.1-70B,Llama-3.1-8B-Inst.,RPi 4B,0.72,2.0,1.44,2,0.5278631384378548
Llama-3.1-70B,Llama-3.1-8B-Inst.,RPi 5,1.77,0.1,0.17700000000000002,2,2.050511073674533
Llama-3.1-70B,Llama-3.1-8B-Inst.,RPi 5,1.77,0.2,0.35400000000000004,2,1.8963307592988354
Llama-3.1-70B,Llama-3.1-8B-Inst.,RPi 5,1.77,0.5,0.885,2,1.5473007304642836
Llama-3.1-70B,Llama-3.1-8B-Inst.,RPi 5,1.77,1.0,1.77,3,1.199152346605768
Llama-3.1-70B,Llama-3.1-8B-Inst.,RPi 5,1.77,2.0,3.54,6,0.8844274409926746
Llama-3.1-70B,Llama-3.1-8B-Inst.,Jetson AGX Orin,25.07,0.1,2.507,3,14.711560151103988
Llama-3.1-70B,Llama-3.1-8B-Inst.,Jetson AGX Orin,25.07,0.2,5.014,6,10.8504207445197
Llama-3.1-70B,Llama-3.1-8B-Inst.,Jetson AGX Orin,25.07,0.5,12.535,6,6.447614463455084
Llama-3.1-70B,Llama-3.1-8B-Inst.,Jetson AGX Orin,25.07,1.0,25.07,8,3.9726015678452837
Llama-3.1-70B,Llama-3.1-8B-Inst.,Jetson AGX Orin,25.07,2.0,50.14,9,2.2802497617543813
Qwen3-32B,Qwen3-0.6B,RPi 4B,7.84,0.1,0.784,2,5.985112724118124
Qwen3-32B,Qwen3-0.6B,RPi 4B,7.84,0.2,1.568,2,4.669998269042842
Qwen3-32B,Qwen3-0.6B,RPi 4B,7.84,0.5,3.92,2,2.8146205783690643
Qwen3-32B,Qwen3-0.6B,RPi 4B,7.84,1.0,7.84,4,1.8273986137935443
Qwen3-32B,Qwen3-0.6B,RPi 4B,7.84,2.0,15.68,7,1.1816436977935816
Qwen3-32B,Qwen3-0.6B,RPi 5,18.18,0.1,1.818,2,10.120068623628862
Qwen3-32B,Qwen3-0.6B,RPi 5,18.18,0.2,3.636,2,6.855646203870651
Qwen3-32B,Qwen3-0.6B,RPi 5,18.18,0.5,9.09,7,3.8623476793413665
Qwen3-32B,Qwen3-0.6B,RPi 5,18.18,1.0,18.18,7,2.4680370993090777
Qwen3-32B,Qwen3-0.6B,RPi 5,18.18,2.0,36.36,10,1.4636392982637376
Qwen3-32B,Qwen3-0.6B,Jetson AGX Orin,98.63,0.1,9.863,7,19.993449206173825
Qwen3-32B,Qwen3-0.6B,Jetson AGX Orin,98.63,0.2,19.726,7,12.615039061726753
Qwen3-32B,Qwen3-0.6B,Jetson AGX Orin,98.63,0.5,49.315,10,6.20623346023334
Qwen3-32B,Qwen3-0.6B,Jetson AGX Orin,98.63,1.0,98.63,10,3.3887760074909377
Qwen3-32B,Qwen3-0.6B,Jetson AGX Orin,98.63,2.0,197.26,10,1.7761398132478077
Qwen3-32B,Qwen3-1.7B,RPi 4B,3.02,0.1,0.30200000000000005,2,3.007514969540615
Qwen3-32B,Qwen3-1.7B,RPi 4B,3.02,0.2,0.6040000000000001,2,2.6587171504925102
Qwen3-32B,Qwen3-1.7B,RPi 4B,3.02,0.5,1.51,2,1.9724499885705116
Qwen3-32B,Qwen3-1.7B,RPi 4B,3.02,1.0,3.02,2,1.3791433187016924
Qwen3-32B,Qwen3-1.7B,RPi 4B,3.02,2.0,6.04,3,0.9108341884401976
Qwen3-32B,Qwen3-1.7B,RPi 5,7.15,0.1,0.7150000000000001,2,6.0372947859158534
Qwen3-32B,Qwen3-1.7B,RPi 5,7.15,0.2,1.4300000000000002,2,4.778791645411528
Qwen3-32B,Qwen3-1.7B,RPi 5,7.15,0.5,3.575,3,2.964907138922802
Qwen3-32B,Qwen3-1.7B,RPi 5,7.15,1.0,7.15,5,1.9583672813201252
Qwen3-32B,Qwen3-1.7B,RPi 5,7.15,2.0,14.3,5,1.2328581589657783
Qwen3-32B,Qwen3-1.7B,Jetson AGX Orin,65.31,0.1,6.531000000000001,5,18.848512957017185
Qwen3-32B,Qwen3-1.7B,Jetson AGX Orin,65.31,0.2,13.062000000000001,5,12.033119416862206
Qwen3-32B,Qwen3-1.7B,Jetson AGX Orin,65.31,0.5,32.655,9,5.991441635238982
Qwen3-32B,Qwen3-1.7B,Jetson AGX Orin,65.31,1.0,65.31,9,3.358545300980754
Qwen3-32B,Qwen3-1.7B,Jetson AGX Orin,65.31,2.0,130.62,9,1.7875197057433019
Qwen3-32B,Qwen3-4B,RPi 4B,1.34,0.1,0.134,2,1.4745297138282096
Qwen3-32B,Qwen3-4B,RPi 4B,1.34,0.2,0.268,2,1.3874102333815694
Qwen3-32B,Qwen3-4B,RPi 4B,1.34,0.5,0.67,2,1.178519254422996
Qwen3-32B,Qwen3-4B,RPi 4B,1.34,1.0,1.34,2,0.9421097033860477
